id,name,city_name,country_id,cancelled,year,month,day,end_year,end_month,end_day
100Merito2018,100º Mérito 2018,"Santarém, Pará",Brazil,0,2018,4,14,2018,4,14
100YearsRepublicAnkara2023,100 Years Republic Ankara 2023,Ankara,Turkey,0,2023,10,28,2023,10,29
100YearsRepublicIstanbul2023,100 Years Republic İstanbul 2023,İstanbul,Turkey,0,2023,10,28,2023,10,29
100YilMBACubeWeekend2023,100. Yıl MBA Cube Weekend 2023,İstanbul,Turkey,0,2023,12,16,2023,12,17
10AniversarioGuatemala2023,Décimo Aniversario Guatemala 2023,Guatemala City,Guatemala,1,2023,10,14,2023,10,15
10doRioGrandedoNorte2018,10º do Rio Grande do Norte 2018,"João Câmara, Rio Grande do Norte",Brazil,0,2018,12,15,2018,12,16
10JohrWilerWurfelfast2024,10 Johr Wiler Würfelfäst 2024,Wil SG,Switzerland,0,2024,3,24,2024,3,24
10thAnniversaryCervantes2024,10th Anniversary Cervantes 2024,Montevideo,Uruguay,0,2024,9,14,2024,9,15
12SidesofSilesia2018,12 Sides of Silesia 2018,Dąbrowa Górnicza,Poland,0,2018,3,3,2018,3,3
150thCubeMeetinginBrest2017,150th Cube Meeting in Brest 2017,Brest,Belarus,0,2017,7,22,2017,7,23
15AnosSanSilvestre2024,15 Años San Silvestre 2024,Barrancabermeja,Colombia,0,2024,7,7,2024,7,7
1aLordagskubeniVasteras2024,1:a Lördagskuben i Västerås 2024,Västerås,Sweden,0,2024,2,3,2024,2,3
1AVG2013,1 AVG competition 2013,Delft,Netherlands,0,2013,4,1,2013,4,1
1BodyCubing2017,1 Body Cubing 2017,"Pueblo, Colorado",USA,0,2017,6,3,2017,6,3
1stBarpetaCubeOpen2024,1st Barpeta Cube Open 2024,"Barpeta, Assam",India,0,2024,2,4,2024,2,4
1stDibrugarhOpen2018,1st Dibrugarh Open 2018,"Dibrugarh, Assam",India,0,2018,11,10,2018,11,10
1stJorhatOpen2019,1st Jorhat Open 2019,"Jorhat, Assam",India,0,2019,9,14,2019,9,15
1stSalemOpen2022,1st Salem Open 2022,"Salem, Tamil Nadu",India,0,2022,6,26,2022,6,26
1stSriLankanOpen2022,1st Sri Lankan Open 2022,Colombo,Sri Lanka,0,2022,4,2,2022,4,2
200Peru2024,200 Perú 2024,Arequipa,Peru,0,2024,7,13,2024,7,13
24HorasElTambo2024,24 Horas El Tambo 2024,El Tambo,Ecuador,0,2024,10,12,2024,10,13
24HorasemSalvador2024,24 Horas em Salvador 2024,"Salvador, Bahia",Brazil,0,2024,6,8,2024,6,9
24HoursinAker2024,24 Hours in Åker 2024,Åkers Styckebruk,Sweden,0,2024,7,6,2024,7,7
24HoursinFlen2023,24 Hours in Flen 2023,Flen,Sweden,0,2023,7,22,2023,7,23
24HoursWarmUpinAstana2024,24 Hours Warm Up in Astana 2024,Astana,Kazakhstan,0,2024,10,19,2024,10,20
2aLordagskubeniVasteras2024,2:a Lördagskuben i Västerås 2024,Västerås,Sweden,0,2024,3,23,2024,3,23
2AVG2014,2 AVG competition 2014,Delft,Netherlands,0,2014,2,2,2014,2,2
2FeetofSnowinMontreal2019,2 Feet of Snow in Montreal 2019,"Montréal, Quebec",Canada,0,2019,12,22,2019,12,22
2FTISanDiego2016,2FTI San Diego 2016,"San Diego, California",USA,0,2016,12,10,2016,12,10
2ndGuwahatiOpen2016,2nd Guwahati Open 2016,"Guwahati, Assam",India,0,2016,5,21,2016,5,22
2ndJogjaMiniCompetition2015,2nd Jogja Mini Competition 2015,"Yogyakarta, Daerah Istimewa Yogyakarta",Indonesia,0,2015,11,29,2015,11,29
2ndNegrosSpeedcubingOpen2017,2nd Negros Speedcubing Open 2017,"Bacolod City, Negros Occidental",Philippines,0,2017,6,10,2017,6,11
2RoundsofFMCinRzeszow2023,2 Rounds of FMC in Rzeszów 2023,Rzeszów,Poland,0,2023,11,10,2023,11,10
2x2at2inPrague2024,2x2 at 2 in Prague 2024,Praha,Czech Republic,0,2024,8,31,2024,9,1
2x2CubeMastersBogota2023,2x2 Cube Masters Bogotá 2023,Bogotá,Colombia,0,2023,11,26,2023,11,26
2x2inaMadisonLodge2022,2x2 in a Madison Lodge 2022,"Madison, Wisconsin",USA,0,2022,12,3,2022,12,3
2x2inTamakiMakaurau2025,2x2 in Tāmaki Makaurau 2025,Auckland,New Zealand,0,2025,8,16,2025,8,16
30thAnniversaryMegaHouse2010,30th Anniversary MegaHouse Cup 2010,Tokyo,Japan,0,2010,7,24,2010,7,25
333OnlyHamiltonA2022,3x3x3 Only Hamilton A 2022,"Hamilton, Ontario",Canada,0,2022,5,29,2022,5,29
333OnlyHamiltonB2022,3x3x3 Only Hamilton B 2022,"Hamilton, Ontario",Canada,0,2022,5,29,2022,5,29
33TrentiniATrento2025,Trentatré Trentini Entrarono a Trento 2025,"Povo, Trento",Italy,0,2025,7,5,2025,7,6
345CubeDayAllen2019,345 Cube Day Allen 2019,"Allen, Texas",USA,0,2019,10,13,2019,10,13
360DegreesWellnessOpen2015,360 Degrees Wellness Open 2015,"Antipolo, Rizal",Philippines,0,2015,8,9,2015,8,9
360DegreeWellnessOpen2014,360 Degree Wellness Open 2014,QUEZON,Philippines,0,2014,8,30,2014,8,30
3BLDonaMadisonMoNona2024,3BLD on a Madison MoNona 2024,"Madison, Wisconsin",USA,0,2024,2,17,2024,2,18
3eLordagskubeniVasteras2024,3:e Lördagskuben i Västerås 2024,Västerås,Sweden,0,2024,6,1,2024,6,1
3FMCRoundsinRzeszow2023,3 FMC Rounds in Rzeszów 2023,Rzeszów,Poland,0,2023,7,21,2023,7,22
3MolaOpen2010,3Mola Open 2010,Gdańsk,Poland,0,2010,6,12,2010,6,12
3MolaOpen2011,3Mola Open 2011,Gdańsk,Poland,0,2011,6,4,2011,6,4
3MoreFMCRoundsinRzeszow2023,3 More FMC Rounds in Rzeszów 2023,Rzeszów,Poland,0,2023,7,22,2023,7,23
3rdCoastCubing2019,3rd Coast Cubing 2019,"Holland, Michigan",USA,0,2019,7,20,2019,7,20
3rdGuwahatiOpen2017,3rd Guwahati Open 2017,"Guwahati, Assam",India,0,2017,6,10,2017,6,11
3RegularFortaleza2020,3-Regular Fortaleza 2020,"Fortaleza, Ceará",Brazil,0,2020,1,11,2020,1,11
3x3at3inPrague2025,3x3 at 3 in Prague 2025,Prague,Czech Republic,0,2025,11,1,2025,11,2
3x3inMadison2026,3x3 in Madison 2026,"Madison, Wisconsin",USA,0,2026,5,8,2026,5,10
3x3OnlyCalgary2019,3x3 Only Calgary 2019,"Calgary, Alberta",Canada,0,2019,3,9,2019,3,9
3x3OnlyMinnesota2019,3x3 Only Minnesota 2019,"Plymouth, Minnesota",USA,0,2019,8,24,2019,8,24
3x3sin303Colorado2025,3x3s in 303 Colorado 2025,"Denver, Colorado",USA,0,2025,12,6,2025,12,6
3x3x3CubeFrisco2019,3x3x3 Cube Frisco 2019,"Frisco, Texas",USA,0,2019,3,9,2019,3,9
3x3x3HanMaDang2017,3x3x3 HanMaDang 2017,서울특별시 (Seoul),Korea,0,2017,2,18,2017,2,18
3x3x3paaBiblioteket2022,Tre Gange Tre Gange Tre på Biblioteket 2022,København,Denmark,0,2022,12,17,2022,12,17
40thAnniversaryPeru2014,40th Anniversary Peru 2014,Arequipa,Peru,0,2014,11,8,2014,11,8
444Puebla2025,444 Puebla 2025,Puebla,Mexico,0,2025,4,26,2025,4,27
4BLDinaMadisonHall2023,4BLD in a Madison Hall 2023,"Madison, Wisconsin",USA,0,2023,1,28,2023,1,29
4BLDMadnessinDobrejovice2025,4BLD Madness in Dobřejovice 2025,Dobřejovice,Czech Republic,0,2025,10,18,2025,10,18
4thGuwahatiOpen2018,4th Guwahati Open 2018,"Guwahati, Assam",India,0,2018,9,1,2018,9,2
4x4byFourMadisonLakes2024,4x4 by Four Madison Lakes 2024,"Madison, Wisconsin",USA,0,2024,12,7,2024,12,7
4x4byRoad44Israel2024,4x4 by Road 44 Israel 2024,Be'er Ya'akov,Israel,0,2024,9,27,2024,9,27
50andCountingIreland2024,50 and Counting Ireland 2024,Wexford,Ireland,0,2024,4,27,2024,4,28
50AnosCubeandoAvesMaria2024,50 Años Cubeando Aves María 2024,"Sabaneta, Antioquia",Colombia,0,2024,5,18,2024,5,19
50thAnniversaryinElverum2024,50th Anniversary in Elverum 2024,Elverum,Norway,0,2024,5,18,2024,5,19
50thAnniversaryinIndo2024,50th Anniversary in Indonesia 2024,Jakarta,Indonesia,0,2024,12,7,2024,12,7
